Language	Concept	Value	Forms
Spiti	Forty three	dʒiptʃusəksum	dʒiptʃusəksum
Spiti	Forty four	dʒiptʃusɔdʒi	dʒiptʃusɔdʒi
Spiti	Forty five	dʒiptʃusɛŋã	dʒiptʃusɛŋã
Spiti	Forty six	dʒiptʃusɛruk	dʒiptʃusɛruk
Spiti	Forty seven	dʒiptʃusəbdʉn	dʒiptʃusəbdʉn
Spiti	Forty eight	dʒiptʃusəbɡjɛ	dʒiptʃusəbɡjɛ
Spiti	Forty nine	dʒiptʃusərgu	dʒiptʃusərgu
Spiti	Fifty	ŋə̃ptʃu	ŋə̃ptʃu
Spiti	Fifty one	ŋə̃ptʃuŋɛʃik	ŋə̃ptʃuŋɛʃik
Spiti	Fifty two	ŋə̃ptʃuŋɛnɨ	ŋə̃ptʃuŋɛnɨ
Spiti	Fifty three	ŋə̃btʃuŋəksum	ŋə̃btʃuŋəksum
Spiti	Fifty four	ŋə̃ptʃunəʋdʒi	ŋə̃ptʃunəʋdʒi
Spiti	Fifty five	ŋə̃ptʃuneŋã	ŋə̃ptʃuneŋã
Spiti	Fifty six	ŋə̃ptʃuŋeruk	ŋə̃ptʃuŋeruk
Spiti	Fifty seven	ŋə̃ptʃuŋəbdʉn	ŋə̃ptʃuŋəbdʉn
Spiti	Fifty eight	ŋə̃ptʃuŋəbɡjɛ	ŋə̃ptʃuŋəbɡjɛ
Spiti	Fifty nine	ŋə̃ptʃunərɡu	ŋə̃ptʃunərɡu
Spiti	Sixty	ʈʰruktʃu	ʈʰruktʃu
Spiti	Sixty one	ʈʰruktʃurɛʃik	ʈʰruktʃurɛʃik
Spiti	Sixty two	ʈʰruktʃurɛnɨ	ʈʰruktʃurɛnɨ
Spiti	Sixty three	ʈʰruktʃurəksum	ʈʰruktʃurəksum
Spiti	Sixty four	ʈʰruktʃurəʋdʒi	ʈʰruktʃurəʋdʒi
Spiti	Sixty five	ʈʰruktʃurɛŋã	ʈʰruktʃurɛŋã
Spiti	Sixty six	ʈʰruktʃurɛruk	ʈʰruktʃurɛruk
Spiti	Sixty seven	ʈʰruktʃurəbdʉn	ʈʰruktʃurəbdʉn
Spiti	Sixty eight	ʈʰruktʃurəbɡjɛ	ʈʰruktʃurəbɡjɛ
Spiti	Sixty nine	ʈʰruktʃurərɡu	ʈʰruktʃurərɡu
Spiti	Seventy	dʉndzu	dʉndzu
Spiti	Seventy one	dʉndzutaʃik	dʉndzutaʃik
Spiti	Seventy two	dʉndzutanɨ	dʉndzutanɨ
Spiti	Seventy three	dʉndzutɔksum	dʉndzutɔksum
Spiti	Seventy four	dʉndzutɔdʒi	dʉndzutɔdʒi
Spiti	Seventy five	dʉndzutɛŋã	dʉndzutɛŋã
Spiti	Seventy six	dʉndzutɛruk	dʉndzutɛruk
Spiti	Seventy seven	dʉndzutɔbdʉn	dʉndzutɔbdʉn
Spiti	Seventy eight	dʉndzutɔbɡjɛ	dʉndzutɔbɡjɛ
Spiti	Seventy nine	dʉndzutərɡu	dʉndzutərɡu
Spiti	Eighty	ɡjətʃu	ɡjətʃu
Spiti	Eighty one	ɡjətʃukʰjəʃik	ɡjətʃukʰjəʃik
Spiti	Eighty two	ɡjətʃukʰɛnɨ	ɡjətʃukʰɛnɨ
Spiti	Eighty three	ɡjətʃukʰjəksum	ɡjətʃukʰjəksum
Spiti	Eighty four	ɡjətʃukʰjəudʒi	ɡjətʃukʰjəudʒi
Spiti	Eighty five	ɡjətʃukʰjeŋã	ɡjətʃukʰjeŋã
Spiti	Eighty six	ɡjətʃukʰeruk	ɡjətʃukʰeruk
Spiti	Eighty seven	ɡjətʃuɡjebdʉn	ɡjətʃuɡjebdʉn
Spiti	Eighty eight	ɡjətʃuɡjəbɡjɛ	ɡjətʃuɡjəbɡjɛ
Spiti	Eighty nine	ɡjətʃuɡərɡu	ɡjətʃuɡərɡu
Spiti	Ninety	ɡuptʃu	ɡuptʃu
Spiti	Ninety one	ɡuptʃukɔʃik	ɡuptʃukɔʃik
Spiti	Ninety two	ɡuptʃukɔnɨ	ɡuptʃukɔnɨ
Spiti	Ninety three	ɡuptʃukɔksum	ɡuptʃukɔksum
Spiti	Ninety four	ɡuptʃukɔdʒi	ɡuptʃukɔdʒi
Spiti	Ninety five	ɡuptʃukɔŋã	ɡuptʃukɔŋã
Spiti	Ninety six	ɡuptʃukɛruk	ɡuptʃukɛruk
Spiti	Ninety seven	ɡuptʃukjəbdʉn	ɡuptʃukjəbdʉn
Spiti	Ninety eight	ɡuptʃukjəbɡjɛ	ɡuptʃukjəbɡjɛ
Spiti	Ninety nine	ɡuptʃukjərɡu	ɡuptʃukjərɡu
Spiti	Hundred	ɡjə	ɡjə
Spiti	Thousand	toŋ	toŋ
Spiti	Lakh	cə	cə
Spiti	Lakh	ʈʰi cə	ʈʰi cə
Spiti	One Million	-	-
Spiti	Crore	bom cə	bom cə
Spiti	Billion	-	-
Spiti	One hundred	ɡjə	ɡjə
Spiti	Two hundred	nɨbɡjə	nɨbɡjə
Spiti	Three hundred	sumɡjə	sumɡjə
Spiti	Four hundred	dʒibɡjə	dʒibɡjə
Spiti	Five hundred	ŋãbɡjə	ŋãbɡjə
Spiti	Six hundred	ʈʰrukɡjə	ʈʰrukɡjə
Spiti	One thousand	toŋ tʃi	toŋ tʃi
Spiti	Two thousand	toŋ nɨ	toŋ nɨ
Spiti	Three thousand	toŋsum	toŋsum
Spiti	Four thousand	toŋdʒi	toŋdʒi
Spiti	Five thousand	toŋã	toŋã
Spiti	Six thousand	toŋʈʰruk	toŋʈʰruk
Spiti	Two hundred twenty one	nɨbɡjərəŋ nɨʃusɛtʃik	nɨbɡjərəŋ nɨʃusɛtʃik
Spiti	Five hundred six	ŋãbɡjərəŋ ʈʰruk	ŋãbɡjərəŋ ʈʰruk
Spiti	Three thousand forty eight	toŋsumrəŋ dʒibtʃusəbɡjɛ	toŋsumrəŋ dʒibtʃusəbɡjɛ
Spiti	Six thousand nine hundred	toŋʈʰruktəŋ ɡubɡjə	toŋʈʰruktəŋ ɡubɡjə
Spiti	Seven thousand four hundred twenty two	ɡjədʉnɟu tʰʋindʒirəŋ nɨʃusɛnɨ	ɡjədʉnɟu tʰʋindʒirəŋ nɨʃusɛnɨ
Spiti	Six thousand eight	toŋʈʰrukrəŋ ɡjɛ	toŋʈʰrukrəŋ ɡjɛ
Ladakhi	One	tʃik	tʃik
Ladakhi	Two	nis	nis
Ladakhi	Three	sum	sum
Ladakhi	Four	izbi	izbi
Ladakhi	Five	Gɑ	Gɑ
Ladakhi	Six	ʈuk	ʈuk
Ladakhi	Seven	rdun	rdun
Ladakhi	Eight	rɡjət	rɡjət
Ladakhi	Nine	rɡu	rɡu
Ladakhi	Ten	tʃu	tʃu
Ladakhi	Eleven	tʃukʃik	tʃukʃik
Ladakhi	Twelve	tʃuknis	tʃuknis
Ladakhi	Thirteen	tʃuksum	tʃuksum
Ladakhi	Fourteen	tʃuzbi	tʃuzbi
Ladakhi	Fifteen	tʃoGɑ	tʃoGɑ
Ladakhi	Sixteen	tʃurukʰ	tʃurukʰ
Ladakhi	Seventeen	tʃupdun	tʃupdun
Ladakhi	Eighteen	tʃupɡjət	tʃupɡjət
Ladakhi	Nineteen	tʃurɡu	tʃurɡu
Ladakhi	Twenty	niʃu	niʃu
Ladakhi	Twenty One	niʃusəruk	niʃusəruk
Ladakhi	Twenty two	niʃusəbnis	niʃusəbnis
Ladakhi	Twenty three	niʃusɔksum	niʃusɔksum
Ladakhi	Twenty four	niʃusɔzbi	niʃusɔzbi
Ladakhi	Twenty five	niʃusɔŋɑ	niʃusɔŋɑ
Ladakhi	Twenty six	niʃusəruk	niʃusəruk
Ladakhi	Twenty seven	niʃusəbdun	niʃusəbdun
Ladakhi	Twenty eight	niʃusəbɡjet	niʃusəbɡjet
Ladakhi	Twenty nine	niʃusərɡu	niʃusərɡu
Ladakhi	Thirty	sumtʃu	sumtʃu
Ladakhi	Thirty one	sumtʃusɔkʃik	sumtʃusɔkʃik
Ladakhi	Thirty two	sumtʃusɔknis	sumtʃusɔknis
Ladakhi	Thirty three	sumtʃusɔksum	sumtʃusɔksum
Ladakhi	Thirty four	sumtʃusɔzbi	sumtʃusɔzbi
Ladakhi	Thirty five	sumtʃusɔŋɑ	sumtʃusɔŋɑ
Ladakhi	Thirty six	sumtʃusɔruk	sumtʃusɔruk
Ladakhi	Thirty seven	sumtʃusəbdun	sumtʃusəbdun
Ladakhi	Thirty eight	sumtʃusɔbɡjət	sumtʃusɔbɡjət
Ladakhi	Thirty nine	sumtʃusərɡu	sumtʃusərɡu
Ladakhi	Forty	ziptʃu	ziptʃu
Ladakhi	Forty one	ziptʃuzəɡʃik	ziptʃuzəɡʃik
Ladakhi	Forty two	ziptʃuzəɡnis	ziptʃuzəɡnis
Ladakhi	Forty three	ziptʃuzəɡsum	ziptʃuzəɡsum
Ladakhi	Forty four	ziptʃuzəzbi	ziptʃuzəzbi
Ladakhi	Forty five	ziptʃuzəŋɑ	ziptʃuzəŋɑ
Ladakhi	Forty six	ziptʃuzəruk	ziptʃuzəruk
Ladakhi	Forty seven	ziptʃuzəbdun	ziptʃuzəbdun
Ladakhi	Forty eight	ziptʃuzəbɡjet	ziptʃuzəbɡjet
Ladakhi	Forty nine	ziptʃuzərɡu	ziptʃuzərɡu
Ladakhi	Fifty	ŋəbtʃu	ŋəbtʃu
Ladakhi	Fifty one	ŋəbtʃunəʃik	ŋəbtʃunəʃik
Ladakhi	Fifty two	ŋəbtʃunəbnis	ŋəbtʃunəbnis
Ladakhi	Fifty three	ŋəbtʃunəksum	ŋəbtʃunəksum
Ladakhi	Fifty four	ŋəbtʃunəzbi	ŋəbtʃunəzbi
Ladakhi	Fifty five	ŋəbtʃuŋɑ̃	ŋəbtʃuŋɑ̃
Ladakhi	Fifty six	ŋəbtʃunəruk	ŋəbtʃunəruk
Ladakhi	Fifty seven	ŋəbtʃunəbdun	ŋəbtʃunəbdun
Ladakhi	Fifty eight	ŋəbtʃunəbɡjət	ŋəbtʃunəbɡjət
Ladakhi	Fifty nine	ŋəbtʃunərɡu	ŋəbtʃunərɡu
Ladakhi	Sixty	ʈuktʃu	ʈuktʃu
Ladakhi	Sixty one	ʈuktʃutʃɔʃik	ʈuktʃutʃɔʃik
Ladakhi	Sixty two	ʈuktʃutʃɔɡnis	ʈuktʃutʃɔɡnis
Ladakhi	Sixty three	ʈuktʃutʃuksum	ʈuktʃutʃuksum
Ladakhi	Sixty four	ʈuktʃutʃuzbi	ʈuktʃutʃuzbi
Ladakhi	Sixty five	ʈuktʃuʈoŋɑ̃	ʈuktʃuʈoŋɑ̃
Ladakhi	Sixty six	ʈuktʃuʈoruk	ʈuktʃuʈoruk
Ladakhi	Sixty seven	ʈuktʃuʈobdun	ʈuktʃuʈobdun
Ladakhi	Sixty eight	ʈuktʃuʈobɡjet	ʈuktʃuʈobɡjet
Ladakhi	Sixty nine	ʈuktʃutʃorɡu	ʈuktʃutʃorɡu
Ladakhi	Seventy	duntʃu	duntʃu
Ladakhi	Seventy one	duntʃudɔbʃik	duntʃudɔbʃik
Ladakhi	Seventy two	duntʃudɔbnis	duntʃudɔbnis
Ladakhi	Seventy three	duntʃudɔksum	duntʃudɔksum
Ladakhi	Seventy four	duntʃudɔzbi	duntʃudɔzbi
Ladakhi	Seventy five	duntʃudɔŋɑ̃	duntʃudɔŋɑ̃
Ladakhi	Seventy six	duntʃudɔruk	duntʃudɔruk
Ladakhi	Seventy seven	duntʃudun	duntʃudun
Ladakhi	Seventy eight	duntʃudobɡjət	duntʃudobɡjət
Ladakhi	Seventy nine	duntʃudorɡu	duntʃudorɡu
Ladakhi	Eighty	ɡjətʃu	ɡjətʃu
Ladakhi	Eighty one	ɡjətʃuʃik	ɡjətʃik
Ladakhi	Eighty two	ɡjətʃunis	ɡjənis
Ladakhi	Eighty three	ɡjətʃusum	ɡjəsum
Ladakhi	Eighty four	ɡjətʃuzbi	ɡjəzbi
Ladakhi	Eighty five	ɡjətʃuŋɑ̃	ɡjəŋɑ̃
Ladakhi	Eighty six	ɡjətʃuruk	ɡjəruk
Ladakhi	Eighty seven	ɡjətʃubdun	ɡjəbdun
Ladakhi	Eighty eight	ɡjətʃubɡjət	ɡjəbɡjət
Ladakhi	Eighty nine	ɡjətʃurɡu	ɡjərɡu
Ladakhi	Ninety	ɡuptʃu	ɡuptʃu
Ladakhi	Ninety one	ɡuptʃuɡɔbʃik	ɡuptʃuɡɔbʃik
Ladakhi	Ninety two	ɡuptʃuɡɔbnis	ɡuptʃuɡɔbnis
Ladakhi	Ninety three	ɡuptʃuɡɔsum	ɡuptʃuɡɔsum
Ladakhi	Ninety four	ɡuptʃuɡɔzbi	ɡuptʃuɡɔzbi
Ladakhi	Ninety five	ɡuptʃuɡɔŋɑ̃	ɡuptʃuɡɔŋɑ̃
Ladakhi	Ninety six	ɡuptʃuɡɔruk	ɡuptʃuɡɔruk
Ladakhi	Ninety seven	ɡuptʃuɡubdun	ɡuptʃuɡubdun
Ladakhi	Ninety eight	ɡuptʃuɡɔbɡjət	ɡuptʃuɡɔbɡjət
Ladakhi	Ninety nine	ɡuptʃuɡərɡu	ɡuptʃuɡərɡu
Ladakhi	Hundred	ɡjə	ɡjə
Ladakhi	Thousand	stoŋtʃik	stoŋtʃik
Ladakhi	Lakh	-	-
Ladakhi	Crore	-	-
Ladakhi	One Million	-	-
Ladakhi	Billion	-	-
Ladakhi	One hundred	rɡjə	rɡjə
Ladakhi	Two hundred	nibɡjə	nibɡjə
Ladakhi	Three hundred	sumɡjə	sumɡjə
Ladakhi	Four hundred	izibɡjə	izibɡjə
Ladakhi	Five hundred	Gɑbɡjə	Gɑbɡjə
Ladakhi	Six hundred	ʈukɡjə	ʈukɡjə
Ladakhi	One thousand	stoŋtʃik	stoŋtʃik
Ladakhi	Two thousand	stoŋnis	stoŋnis
Ladakhi	Three thousand	stoŋsum	stoŋsum
Ladakhi	Four thousand	stoŋizbi	stoŋizbi
Ladakhi	Five thousand	stoŋGɑ	stoŋGɑ
Ladakhi	Six thousand	stoŋʈuk	stoŋʈuk
Ladakhi	Two hundred twenty one	nibɡjənə niʃusəksik	nibɡjənə niʃusəksik
Ladakhi	Five hundred six	ɡɑbɡjənə ʈuk	ɡɑbɡjənə ʈuk
Ladakhi	Three thousand forty eight	stoŋsumnə ziptʃuzəbɡjet	stoŋsumnə ziptʃuzəbɡjet
Ladakhi	Six thousand nine hundred	stoŋʈuknə ɡubɡjə	stoŋʈuknə ɡubɡjə
Ladakhi	Seven thousand four hundred twenty two	stoŋdunnə izbiɡjənə niʃusəbnis	stoŋdunnə izbiɡjənə niʃusəbnis
Ladakhi	Six thousand eight	stoŋtuknə ɡjət	stoŋtuknə ɡjət
Khoibu	One	kʰət	kʰət
Khoibu	Two	kʰəni	kʰəni
Khoibu	Three	kʰəjum	kʰəjum
Khoibu	Four	pʰəli	pʰəli
Khoibu	Five	pʰəŋɑ̃	pʰəŋɑ̃
Khoibu	Six	tʰəruk	tʰəruk
Khoibu	Seven	ini	ini
Khoibu	Eight	təcət	təcət
Khoibu	Nine	təku	təku
Khoibu	Ten	cipkʰəe	cipkʰəe
Khoibu	Eleven	cipləikʰət	cipləikʰət
Khoibu	Twelve	cipləikʰəni	cipləikʰəni
Khoibu	Thirteen	cipləikʰəjum	cipləikʰəjum
Khoibu	Fourteen	cipləipʰəli	cipləipʰəli
Khoibu	Fifteen	cipləipʰəŋɑ̃	cipləipʰəŋɑ̃
Khoibu	Sixteen	cipləitʰəruk	cipləitʰəruk
Khoibu	Seventeen	cipləiini	cipləiini
Khoibu	Eighteen	cipləitəcət	cipləitəcət
Khoibu	Nineteen	cipləitəku	cipləitəku
Khoibu	Twenty	somnikʰəe	somnikʰəe
Khoibu	Twenty One	somniləikʰət	somniləikʰət
Khoibu	Twenty two	somniləikʰəni	somniləikʰəni
Khoibu	Twenty three	somniləikʰəjum	somniləikʰəjum
Khoibu	Twenty four	somniləipʰəli	somniləipʰəli
Khoibu	Twenty five	somniləipʰəŋɑ̃	somniləipʰəŋɑ̃
Khoibu	Twenty six	somniləitʰəruk	somniləitʰəruk
Khoibu	Twenty seven	somniləiini	somniləiini
Khoibu	Twenty eight	somniləitəcət	somniləitəcət
Khoibu	Twenty nine	somniləitəku	somniləitəku
Khoibu	Thirty	somtʰumkʰəe	somtʰumkʰəe
Khoibu	Thirty one	somtʰumləikʰət	somtʰumləikʰət
Khoibu	Thirty two	somtʰumləikʰəni	somtʰumləikʰəni
Khoibu	Thirty three	somtʰumləikʰəjum	somtʰumləikʰəjum
Khoibu	Thirty four	somtʰumləipʰəli	somtʰumləipʰəli
Khoibu	Thirty five	somtʰumləipʰəŋɑ̃	somtʰumləipʰəŋɑ̃
Khoibu	Thirty six	somtʰumləitʰəruk	somtʰumləitʰəruk
Khoibu	Thirty seven	somtʰumləiini	somtʰumləiini
Khoibu	Thirty eight	somtʰumləitəcət	somtʰumləitəcət
Khoibu	Thirty nine	somtʰumləitəku	somtʰumləitəku
Khoibu	Forty	somlikʰəe	somlikʰəe
Khoibu	Forty one	somliləikʰət	somliləikʰət
Khoibu	Forty two	somliləikʰəni	somliləikʰəni
Khoibu	Forty three	somliləikʰəjum	somliləikʰəjum
Khoibu	Forty four	somliləipʰəli	somliləipʰəli
Khoibu	Forty five	somliləipʰəŋɑ̃	somliləipʰəŋɑ̃
Khoibu	Forty six	somliləitʰəruk	somliləitʰəruk
Khoibu	Forty seven	somliləiini	somliləiini
Khoibu	Forty eight	somliləitəcət	somliləitəcət
Khoibu	Forty nine	somliləitəku	somliləitəku
Khoibu	Fifty	somŋɑkʰəe	somŋɑkʰəe
Khoibu	Fifty one	somŋɑləikʰət	somŋɑləikʰət
Khoibu	Fifty two	somŋɑləikʰəni	somŋɑləikʰəni
Khoibu	Fifty three	somŋɑləikʰəjum	somŋɑləikʰəjum
Khoibu	Fifty four	somŋɑləipʰəli	somŋɑləipʰəli
Khoibu	Fifty five	somŋɑləipʰəŋɑ̃	somŋɑləipʰəŋɑ̃
Khoibu	Fifty six	somŋɑləitʰəruk	somŋɑləitʰəruk
Khoibu	Fifty seven	somŋɑləiini	somŋɑləiini
Khoibu	Fifty eight	somŋɑləitəcət	somŋɑləitəcət
Khoibu	Fifty nine	somŋɑləitəku	somŋɑləitəku
Khoibu	Sixty	somrupkʰəe	somrupkʰəe
Khoibu	Sixty one	somrupləikʰət	somrupləikʰət
Khoibu	Sixty two	somrupləikʰəni	somrupləikʰəni
Khoibu	Sixty three	somrupləikʰəjum	somrupləikʰəjum
Khoibu	Sixty four	somrupləipʰəli	somrupləipʰəli
Khoibu	Sixty five	somrupləipʰəŋɑ̃	somrupləipʰəŋɑ̃
Khoibu	Sixty six	somrupləitʰəruk	somrupləitʰəruk
Khoibu	Sixty seven	somrupləiini	somrupləiini
Khoibu	Sixty eight	somrupləitəcət	somrupləitəcət
Khoibu	Sixty nine	somrupləitəku	somrupləitəku
Khoibu	Seventy	cipcipini	cipcipini
Khoibu	Seventy one	cipcipiniminkʰət	cipcipiniminkʰət
Khoibu	Seventy two	cipcipiniminkʰəni	cipcipiniminkʰəni
Khoibu	Seventy three	cipcipiniminkʰəjum	cipcipiniminkʰəjum
Khoibu	Seventy four	cipcipiniminpʰəli	cipcipiniminpʰəli
Khoibu	Seventy five	cipcipiniminpʰəŋɑ̃	cipcipiniminpʰəŋɑ̃
Khoibu	Seventy six	cipcipinimintʰəruk	cipcipinimintʰəruk
Khoibu	Seventy seven	cipcipiniminini	cipcipiniminini
Khoibu	Seventy eight	cipcipinimintəcət	cipcipinimintəcət
Khoibu	Seventy nine	cipcipinimintəku	cipcipinimintəku
Khoibu	Eighty	cipciptəcət	cipciptəcət
Khoibu	Eighty one	cipciptəcətminkʰət	cipciptəcətminkʰət
Khoibu	Eighty two	cipciptəcətminkʰəni	cipciptəcətminkʰəni
Khoibu	Eighty three	cipciptəcətminkʰəjum	cipciptəcətminkʰəjum
Khoibu	Eighty four	cipciptəcətminpʰəli	cipciptəcətminpʰəli
Khoibu	Eighty five	cipciptəcətminpʰəŋɑ̃	cipciptəcətminpʰəŋɑ̃
Khoibu	Eighty six	cipciptəcətmintʰəruk	cipciptəcətmintʰəruk
Khoibu	Eighty seven	cipciptəcətminini	cipciptəcətminini
Khoibu	Eighty eight	cipciptəcətmintəcət	cipciptəcətmintəcət
Khoibu	Eighty nine	cipciptəcətmintəku	cipciptəcətmintəku
Khoibu	Ninety	cipciptəku	cipciptəku
Khoibu	Ninety one	cipciptəkuminkʰət	cipciptəkuminkʰət
Khoibu	Ninety two	cipciptəkuminkʰəni	cipciptəkuminkʰəni
Khoibu	Ninety three	cipciptəkuminkʰəjum	cipciptəkuminkʰəjum
Khoibu	Ninety four	cipciptəkuminpʰəli	cipciptəkuminpʰəli
Khoibu	Ninety five	cipciptəkuminpʰəŋɑ̃	cipciptəkuminpʰəŋɑ̃
Khoibu	Ninety six	cipciptəkumintʰəruk	cipciptəkumintʰəruk
Khoibu	Ninety seven	cipciptəkuminini	cipciptəkuminini
Khoibu	Ninety eight	cipciptəkumintəcət	cipciptəkumintəcət
Khoibu	Ninety nine	cipciptəkumintəku	cipciptəkumintəku
Khoibu	Hundred	rijɑ 	rijɑ 
Khoibu	Thousand	lisiŋ 	lisiŋ 
Khoibu	Lakh	lɑ kʰəe	lɑ kʰəe
Khoibu	One Million	miliən kʰəe	miliən kʰəe
Khoibu	Crore	kəror kʰəe	kəror kʰəe
Khoibu	Billion	biliən kʰəe	biliən kʰəe
Khoibu	One hundred	rijɑ kʰəe	rijɑ kʰəe
Khoibu	Two hundred	rijɑ kʰəni	rijɑ kʰəni
Khoibu	Three hundred	rijɑ kʰəjum	rijɑ kʰəjum
Khoibu	Four hundred	rijɑ pʰəli	rijɑ pʰəli
Khoibu	Five hundred	rijɑ pʰəŋɑ	rijɑ pʰəŋɑ
Khoibu	Six hundred	rijɑ tʰəruk	rijɑ tʰəruk
Khoibu	One thousand	lisiŋkʰəe	lisiŋkʰəe
Khoibu	Two thousand	lisiŋ kʰəni	lisiŋ kʰəni
Khoibu	Three thousand	lisiŋ kʰəjum	lisiŋ kʰəjum
Khoibu	Four thousand	lisiŋ pʰəli	lisiŋ pʰəli
Khoibu	Five thousand	lisiŋ pʰəŋɑ	lisiŋ pʰəŋɑ
Khoibu	Six thousand	lisiŋ tʰəruk	lisiŋ tʰəruk
Khoibu	Two hundred twenty one	rijɑkʰəni min nə somniləikʰət	rijɑkʰəni min nə somniləikʰət
Khoibu	Five hundred six	rijɑpʰəŋɑ min tʰəruk	rijɑpʰəŋɑ min tʰəruk
Khoibu	Three thousand forty eight	lisiŋkʰəjum min nə somliləitəcət	lisiŋkʰəjum min nə somliləitəcət
Khoibu	Six thousand nine hundred	lisiŋtʰəruk min nə rijɑtəku	lisiŋtʰəruk min nə rijɑtəku
Khoibu	Seven thousand four hundred twenty two	lisiŋini min nə rijɑpʰəli min somniləikʰəni	lisiŋini min nə rijɑpʰəli min somniləikʰəni
Khoibu	Six thousand eight	lisiŋtʰəruk min təcət	lisiŋtʰəruk min təcət
Ao_1	One	kʰɑ	kʰɑ
Ao_1	Two	ənnɑ	ənnɑ
Ao_1	Three	əʃəm	əʃəm
Ao_1	Four	pizzə	pizzə
Ao_1	Five	puŋo	puŋo
Ao_1	Six	ʈʰruk	ʈʰruk
Ao_1	Seven	tənət	tənət
Ao_1	Eight	ʈʰɪ	ʈʰɪ
Ao_1	Nine	ʈʰuku	ʈʰuku
Ao_1	Ten	tʰər	tʰər
Ao_1	Eleven	tʰərkʰɑ	tʰərkʰɑ
Ao_1	Twelve	tʰərənnɑ	tʰərənnɑ
Ao_1	Thirteen	tʰərəʃəm	tʰərəʃəm
Ao_1	Fourteen	tʰərpiʒʒə	tʰərpiʒʒə
Ao_1	Fifteen	tʰərpuŋo	tʰərpuŋo
Ao_1	Sixteen	tʰərʈʰruk	tʰərʈʰruk
Ao_1	Seventeen	tʰərtənət	tʰərtənət
Ao_1	Eighteen	tʰərʈʰɪ	tʰərʈʰɪ
Ao_1	Nineteen	tʰərʈʰuku	tʰərʈʰuku
Ao_1	Twenty	metdʒəɹ	metdʒəɹ
Ao_1	Twenty One	metdʒərkʰɑ	metdʒərkʰɑ
Ao_1	Twenty two	metdʒərənnɑ	metdʒərənnɑ
Ao_1	Twenty three	metdʒərəʃəm	metdʒərəʃəm
Ao_1	Twenty four	metdʒərpizzə	metdʒərpizzə
Ao_1	Twenty five	metdʒərpuŋo	metdʒərpuŋo
Ao_1	Twenty six	metdʒərʈʰruk	metdʒərʈʰruk
Ao_1	Twenty seven	metdʒərtənət	metdʒərtənət
Ao_1	Twenty eight	metdʒərʈʰɪ	metdʒərʈʰɪ
Ao_1	Twenty nine	metdʒərʈʰuku	metdʒərʈʰuku
Ao_1	Thirty	səməɹ	səməɹ
Ao_1	Thirty one	səməɹkʰɑ	səməɹkʰɑ
Ao_1	Thirty two	səməɹənnɑ	səməɹənnɑ
Ao_1	Thirty three	səməɹəʃəm	səməɹəʃəm
Ao_1	Thirty four	səməɹpizzə	səməɹpizzə
Ao_1	Thirty five	səməɹpuŋo	səməɹpuŋo
Ao_1	Thirty six	səməɹʈʰruk	səməɹʈʰruk
